"LOCATION","Country","VAR","Variable","IND","Industry","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"DEU","Germany","PROD","Production (gross output), current prices","D10T33"," Manufacturing [C]","1991","1991","EUR","Euro","6","Millions",,,1015265,,
"DEU","Germany","PROD","Production (gross output), current prices","D10T33"," Manufacturing [C]","1992","1992","EUR","Euro","6","Millions",,,1018721,,
"DEU","Germany","PROD","Production (gross output), current prices","D10T33"," Manufacturing [C]","1993","1993","EUR","Euro","6","Millions",,,950408,,
"DEU","Germany","PROD","Production (gross output), current prices","D10T33"," Manufacturing [C]","1994","1994","EUR","Euro","6","Millions",,,978372,,
"DEU","Germany","PROD","Production (gross output), current prices","D10T33"," Manufacturing [C]","1995","1995","EUR","Euro","6","Millions",,,1038759,,
"DEU","Germany","PROD","Production (gross output), current prices","D10T33"," Manufacturing [C]","1996","1996","EUR","Euro","6","Millions",,,1035060,,
"DEU","Germany","PROD","Production (gross output), current prices","D10T33"," Manufacturing [C]","1997","1997","EUR","Euro","6","Millions",,,1080112,,
"DEU","Germany","PROD","Production (gross output), current prices","D10T33"," Manufacturing [C]","1998","1998","EUR","Euro","6","Millions",,,1127032,,
"DEU","Germany","PROD","Production (gross output), current prices","D10T33"," Manufacturing [C]","1999","1999","EUR","Euro","6","Millions",,,1155838,,
"DEU","Germany","PROD","Production (gross output), current prices","D10T33"," Manufacturing [C]","2000","2000","EUR","Euro","6","Millions",,,1266808,,
"DEU","Germany","PROD","Production (gross output), current prices","D10T33"," Manufacturing [C]","2001","2001","EUR","Euro","6","Millions",,,1300462,,
"DEU","Germany","PROD","Production (gross output), current prices","D10T33"," Manufacturing [C]","2002","2002","EUR","Euro","6","Millions",,,1266549,,
"DEU","Germany","PROD","Production (gross output), current prices","D10T33"," Manufacturing [C]","2003","2003","EUR","Euro","6","Millions",,,1284680,,
"DEU","Germany","PROD","Production (gross output), current prices","D10T33"," Manufacturing [C]","2004","2004","EUR","Euro","6","Millions",,,1351210,,
"DEU","Germany","PROD","Production (gross output), current prices","D10T33"," Manufacturing [C]","2005","2005","EUR","Euro","6","Millions",,,1414087,,
"DEU","Germany","PROD","Production (gross output), current prices","D10T33"," Manufacturing [C]","2006","2006","EUR","Euro","6","Millions",,,1541046,,
"DEU","Germany","PROD","Production (gross output), current prices","D10T33"," Manufacturing [C]","2007","2007","EUR","Euro","6","Millions",,,1663618,,
"DEU","Germany","PROD","Production (gross output), current prices","D10T33"," Manufacturing [C]","2008","2008","EUR","Euro","6","Millions",,,1693045,,
"DEU","Germany","PROD","Production (gross output), current prices","D10T33"," Manufacturing [C]","2009","2009","EUR","Euro","6","Millions",,,1378708,,
"DEU","Germany","PROD","Production (gross output), current prices","D10T33"," Manufacturing [C]","2010","2010","EUR","Euro","6","Millions",,,1567592,,
"DEU","Germany","PROD","Production (gross output), current prices","D10T33"," Manufacturing [C]","2011","2011","EUR","Euro","6","Millions",,,1758841,,
"DEU","Germany","PROD","Production (gross output), current prices","D10T33"," Manufacturing [C]","2012","2012","EUR","Euro","6","Millions",,,1757798,,
"DEU","Germany","PROD","Production (gross output), current prices","D10T33"," Manufacturing [C]","2013","2013","EUR","Euro","6","Millions",,,1751969,,
"DEU","Germany","PROD","Production (gross output), current prices","D10T33"," Manufacturing [C]","2014","2014","EUR","Euro","6","Millions",,,1791890,,
"DEU","Germany","PROD","Production (gross output), current prices","D10T33"," Manufacturing [C]","2015","2015","EUR","Euro","6","Millions",,,1819568,,
"DEU","Germany","PROD","Production (gross output), current prices","D10T33"," Manufacturing [C]","2016","2016","EUR","Euro","6","Millions",,,1855433,,
"DEU","Germany","PROD","Production (gross output), current prices","D10T33"," Manufacturing [C]","2017","2017","EUR","Euro","6","Millions",,,1958692,,
"DEU","Germany","PROD","Production (gross output), current prices","D10T33"," Manufacturing [C]","2018","2018","EUR","Euro","6","Millions",,,1998066,,
"DEU","Germany","PROD","Production (gross output), current prices","D10T33"," Manufacturing [C]","2019","2019","EUR","Euro","6","Millions",,,1931958,,
"DEU","Germany","LABR","Labour costs (compensation of employees)","D10T33"," Manufacturing [C]","1991","1991","EUR","Euro","6","Millions",,,261742,,
"DEU","Germany","LABR","Labour costs (compensation of employees)","D10T33"," Manufacturing [C]","1992","1992","EUR","Euro","6","Millions",,,273747,,
"DEU","Germany","LABR","Labour costs (compensation of employees)","D10T33"," Manufacturing [C]","1993","1993","EUR","Euro","6","Millions",,,263248,,
"DEU","Germany","LABR","Labour costs (compensation of employees)","D10T33"," Manufacturing [C]","1994","1994","EUR","Euro","6","Millions",,,263201,,
"DEU","Germany","LABR","Labour costs (compensation of employees)","D10T33"," Manufacturing [C]","1995","1995","EUR","Euro","6","Millions",,,270355,,
"DEU","Germany","LABR","Labour costs (compensation of employees)","D10T33"," Manufacturing [C]","1996","1996","EUR","Euro","6","Millions",,,269488,,
"DEU","Germany","LABR","Labour costs (compensation of employees)","D10T33"," Manufacturing [C]","1997","1997","EUR","Euro","6","Millions",,,269808,,
"DEU","Germany","LABR","Labour costs (compensation of employees)","D10T33"," Manufacturing [C]","1998","1998","EUR","Euro","6","Millions",,,277484,,
"DEU","Germany","LABR","Labour costs (compensation of employees)","D10T33"," Manufacturing [C]","1999","1999","EUR","Euro","6","Millions",,,285153,,
"DEU","Germany","LABR","Labour costs (compensation of employees)","D10T33"," Manufacturing [C]","2000","2000","EUR","Euro","6","Millions",,,298312,,
"DEU","Germany","LABR","Labour costs (compensation of employees)","D10T33"," Manufacturing [C]","2001","2001","EUR","Euro","6","Millions",,,303640,,
"DEU","Germany","LABR","Labour costs (compensation of employees)","D10T33"," Manufacturing [C]","2002","2002","EUR","Euro","6","Millions",,,300384,,
"DEU","Germany","LABR","Labour costs (compensation of employees)","D10T33"," Manufacturing [C]","2003","2003","EUR","Euro","6","Millions",,,300010,,
"DEU","Germany","LABR","Labour costs (compensation of employees)","D10T33"," Manufacturing [C]","2004","2004","EUR","Euro","6","Millions",,,299957,,
"DEU","Germany","LABR","Labour costs (compensation of employees)","D10T33"," Manufacturing [C]","2005","2005","EUR","Euro","6","Millions",,,298358,,
"DEU","Germany","LABR","Labour costs (compensation of employees)","D10T33"," Manufacturing [C]","2006","2006","EUR","Euro","6","Millions",,,305587,,
"DEU","Germany","LABR","Labour costs (compensation of employees)","D10T33"," Manufacturing [C]","2007","2007","EUR","Euro","6","Millions",,,316555,,
"DEU","Germany","LABR","Labour costs (compensation of employees)","D10T33"," Manufacturing [C]","2008","2008","EUR","Euro","6","Millions",,,329426,,
"DEU","Germany","LABR","Labour costs (compensation of employees)","D10T33"," Manufacturing [C]","2009","2009","EUR","Euro","6","Millions",,,311471,,
"DEU","Germany","LABR","Labour costs (compensation of employees)","D10T33"," Manufacturing [C]","2010","2010","EUR","Euro","6","Millions",,,321350,,
"DEU","Germany","LABR","Labour costs (compensation of employees)","D10T33"," Manufacturing [C]","2011","2011","EUR","Euro","6","Millions",,,338409,,
"DEU","Germany","LABR","Labour costs (compensation of employees)","D10T33"," Manufacturing [C]","2012","2012","EUR","Euro","6","Millions",,,349985,,
"DEU","Germany","LABR","Labour costs (compensation of employees)","D10T33"," Manufacturing [C]","2013","2013","EUR","Euro","6","Millions",,,363448,,
"DEU","Germany","LABR","Labour costs (compensation of employees)","D10T33"," Manufacturing [C]","2014","2014","EUR","Euro","6","Millions",,,376814,,
"DEU","Germany","LABR","Labour costs (compensation of employees)","D10T33"," Manufacturing [C]","2015","2015","EUR","Euro","6","Millions",,,388312,,
"DEU","Germany","LABR","Labour costs (compensation of employees)","D10T33"," Manufacturing [C]","2016","2016","EUR","Euro","6","Millions",,,398415,,
"DEU","Germany","LABR","Labour costs (compensation of employees)","D10T33"," Manufacturing [C]","2017","2017","EUR","Euro","6","Millions",,,409898,,
"DEU","Germany","LABR","Labour costs (compensation of employees)","D10T33"," Manufacturing [C]","2018","2018","EUR","Euro","6","Millions",,,426114,,
"DEU","Germany","LABR","Labour costs (compensation of employees)","D10T33"," Manufacturing [C]","2019","2019","EUR","Euro","6","Millions",,,438354,,
"DEU","Germany","GOPS","Gross operating surplus and mixed income","D10T33"," Manufacturing [C]","1991","1991","EUR","Euro","6","Millions",,,134988,,
"DEU","Germany","GOPS","Gross operating surplus and mixed income","D10T33"," Manufacturing [C]","1992","1992","EUR","Euro","6","Millions",,,126436,,
"DEU","Germany","GOPS","Gross operating surplus and mixed income","D10T33"," Manufacturing [C]","1993","1993","EUR","Euro","6","Millions",,,111596,,
"DEU","Germany","GOPS","Gross operating surplus and mixed income","D10T33"," Manufacturing [C]","1994","1994","EUR","Euro","6","Millions",,,118318,,
"DEU","Germany","GOPS","Gross operating surplus and mixed income","D10T33"," Manufacturing [C]","1995","1995","EUR","Euro","6","Millions",,,119830,,
"DEU","Germany","GOPS","Gross operating surplus and mixed income","D10T33"," Manufacturing [C]","1996","1996","EUR","Euro","6","Millions",,,117028,,
"DEU","Germany","GOPS","Gross operating surplus and mixed income","D10T33"," Manufacturing [C]","1997","1997","EUR","Euro","6","Millions",,,127741,,
"DEU","Germany","GOPS","Gross operating surplus and mixed income","D10T33"," Manufacturing [C]","1998","1998","EUR","Euro","6","Millions",,,134936,,
"DEU","Germany","GOPS","Gross operating surplus and mixed income","D10T33"," Manufacturing [C]","1999","1999","EUR","Euro","6","Millions",,,127958,,
"DEU","Germany","GOPS","Gross operating surplus and mixed income","D10T33"," Manufacturing [C]","2000","2000","EUR","Euro","6","Millions",,,136069,,
"DEU","Germany","GOPS","Gross operating surplus and mixed income","D10T33"," Manufacturing [C]","2001","2001","EUR","Euro","6","Millions",,,138946,,
"DEU","Germany","GOPS","Gross operating surplus and mixed income","D10T33"," Manufacturing [C]","2002","2002","EUR","Euro","6","Millions",,,135142,,
"DEU","Germany","GOPS","Gross operating surplus and mixed income","D10T33"," Manufacturing [C]","2003","2003","EUR","Euro","6","Millions",,,139217,,
"DEU","Germany","GOPS","Gross operating surplus and mixed income","D10T33"," Manufacturing [C]","2004","2004","EUR","Euro","6","Millions",,,153452,,
"DEU","Germany","GOPS","Gross operating surplus and mixed income","D10T33"," Manufacturing [C]","2005","2005","EUR","Euro","6","Millions",,,160785,,
"DEU","Germany","GOPS","Gross operating surplus and mixed income","D10T33"," Manufacturing [C]","2006","2006","EUR","Euro","6","Millions",,,187109,,
"DEU","Germany","GOPS","Gross operating surplus and mixed income","D10T33"," Manufacturing [C]","2007","2007","EUR","Euro","6","Millions",,,203980,,
"DEU","Germany","GOPS","Gross operating surplus and mixed income","D10T33"," Manufacturing [C]","2008","2008","EUR","Euro","6","Millions",,,180621,,
"DEU","Germany","GOPS","Gross operating surplus and mixed income","D10T33"," Manufacturing [C]","2009","2009","EUR","Euro","6","Millions",,,121735,,
"DEU","Germany","GOPS","Gross operating surplus and mixed income","D10T33"," Manufacturing [C]","2010","2010","EUR","Euro","6","Millions",,,183745,,
"DEU","Germany","GOPS","Gross operating surplus and mixed income","D10T33"," Manufacturing [C]","2011","2011","EUR","Euro","6","Millions",,,206003,,
"DEU","Germany","GOPS","Gross operating surplus and mixed income","D10T33"," Manufacturing [C]","2012","2012","EUR","Euro","6","Millions",,,202207,,
"DEU","Germany","GOPS","Gross operating surplus and mixed income","D10T33"," Manufacturing [C]","2013","2013","EUR","Euro","6","Millions",,,195663,,
"DEU","Germany","GOPS","Gross operating surplus and mixed income","D10T33"," Manufacturing [C]","2014","2014","EUR","Euro","6","Millions",,,214229,,
"DEU","Germany","GOPS","Gross operating surplus and mixed income","D10T33"," Manufacturing [C]","2015","2015","EUR","Euro","6","Millions",,,227224,,
"DEU","Germany","GOPS","Gross operating surplus and mixed income","D10T33"," Manufacturing [C]","2016","2016","EUR","Euro","6","Millions",,,248830,,
"DEU","Germany","GOPS","Gross operating surplus and mixed income","D10T33"," Manufacturing [C]","2017","2017","EUR","Euro","6","Millions",,,255473,,
"DEU","Germany","GOPS","Gross operating surplus and mixed income","D10T33"," Manufacturing [C]","2018","2018","EUR","Euro","6","Millions",,,247691,,
"DEU","Germany","GOPS","Gross operating surplus and mixed income","D10T33"," Manufacturing [C]","2019","2019","EUR","Euro","6","Millions",,,234610,,
"DEU","Germany","NOPS","Net operating surplus and mixed income","D10T33"," Manufacturing [C]","1991","1991","EUR","Euro","6","Millions",,,72189,,
"DEU","Germany","NOPS","Net operating surplus and mixed income","D10T33"," Manufacturing [C]","1992","1992","EUR","Euro","6","Millions",,,58802,,
"DEU","Germany","NOPS","Net operating surplus and mixed income","D10T33"," Manufacturing [C]","1993","1993","EUR","Euro","6","Millions",,,40321,,
"DEU","Germany","NOPS","Net operating surplus and mixed income","D10T33"," Manufacturing [C]","1994","1994","EUR","Euro","6","Millions",,,45141,,
"DEU","Germany","NOPS","Net operating surplus and mixed income","D10T33"," Manufacturing [C]","1995","1995","EUR","Euro","6","Millions",,,45069,,
"DEU","Germany","NOPS","Net operating surplus and mixed income","D10T33"," Manufacturing [C]","1996","1996","EUR","Euro","6","Millions",,,40776,,
"DEU","Germany","NOPS","Net operating surplus and mixed income","D10T33"," Manufacturing [C]","1997","1997","EUR","Euro","6","Millions",,,50229,,
"DEU","Germany","NOPS","Net operating surplus and mixed income","D10T33"," Manufacturing [C]","1998","1998","EUR","Euro","6","Millions",,,56162,,
"DEU","Germany","NOPS","Net operating surplus and mixed income","D10T33"," Manufacturing [C]","1999","1999","EUR","Euro","6","Millions",,,47795,,
"DEU","Germany","NOPS","Net operating surplus and mixed income","D10T33"," Manufacturing [C]","2000","2000","EUR","Euro","6","Millions",,,53457,,
"DEU","Germany","NOPS","Net operating surplus and mixed income","D10T33"," Manufacturing [C]","2001","2001","EUR","Euro","6","Millions",,,53971,,
"DEU","Germany","NOPS","Net operating surplus and mixed income","D10T33"," Manufacturing [C]","2002","2002","EUR","Euro","6","Millions",,,48539,,
"DEU","Germany","NOPS","Net operating surplus and mixed income","D10T33"," Manufacturing [C]","2003","2003","EUR","Euro","6","Millions",,,51750,,
"DEU","Germany","NOPS","Net operating surplus and mixed income","D10T33"," Manufacturing [C]","2004","2004","EUR","Euro","6","Millions",,,65240,,
"DEU","Germany","NOPS","Net operating surplus and mixed income","D10T33"," Manufacturing [C]","2005","2005","EUR","Euro","6","Millions",,,72287,,
"DEU","Germany","NOPS","Net operating surplus and mixed income","D10T33"," Manufacturing [C]","2006","2006","EUR","Euro","6","Millions",,,98009,,
"DEU","Germany","NOPS","Net operating surplus and mixed income","D10T33"," Manufacturing [C]","2007","2007","EUR","Euro","6","Millions",,,112950,,
"DEU","Germany","NOPS","Net operating surplus and mixed income","D10T33"," Manufacturing [C]","2008","2008","EUR","Euro","6","Millions",,,87208,,
"DEU","Germany","NOPS","Net operating surplus and mixed income","D10T33"," Manufacturing [C]","2009","2009","EUR","Euro","6","Millions",,,27339,,
"DEU","Germany","NOPS","Net operating surplus and mixed income","D10T33"," Manufacturing [C]","2010","2010","EUR","Euro","6","Millions",,,88389,,
"DEU","Germany","NOPS","Net operating surplus and mixed income","D10T33"," Manufacturing [C]","2011","2011","EUR","Euro","6","Millions",,,109312,,
"DEU","Germany","NOPS","Net operating surplus and mixed income","D10T33"," Manufacturing [C]","2012","2012","EUR","Euro","6","Millions",,,103218,,
"DEU","Germany","NOPS","Net operating surplus and mixed income","D10T33"," Manufacturing [C]","2013","2013","EUR","Euro","6","Millions",,,95007,,
"DEU","Germany","NOPS","Net operating surplus and mixed income","D10T33"," Manufacturing [C]","2014","2014","EUR","Euro","6","Millions",,,111364,,
"DEU","Germany","NOPS","Net operating surplus and mixed income","D10T33"," Manufacturing [C]","2015","2015","EUR","Euro","6","Millions",,,120349,,
"DEU","Germany","NOPS","Net operating surplus and mixed income","D10T33"," Manufacturing [C]","2016","2016","EUR","Euro","6","Millions",,,139679,,
"DEU","Germany","NOPS","Net operating surplus and mixed income","D10T33"," Manufacturing [C]","2017","2017","EUR","Euro","6","Millions",,,142859,,
"DEU","Germany","NOPS","Net operating surplus and mixed income","D10T33"," Manufacturing [C]","2018","2018","EUR","Euro","6","Millions",,,130213,,
"DEU","Germany","NOPS","Net operating surplus and mixed income","D10T33"," Manufacturing [C]","2019","2019","EUR","Euro","6","Millions",,,112191,,
"CZE","Czech Republic","NOPS","Net operating surplus and mixed income","D10T33"," Manufacturing [C]","1993","1993","CZK","Czech Koruna","6","Millions",,,74763,,
"CZE","Czech Republic","NOPS","Net operating surplus and mixed income","D10T33"," Manufacturing [C]","1994","1994","CZK","Czech Koruna","6","Millions",,,79943,,
"CZE","Czech Republic","NOPS","Net operating surplus and mixed income","D10T33"," Manufacturing [C]","1995","1995","CZK","Czech Koruna","6","Millions",,,102360,,
"CZE","Czech Republic","NOPS","Net operating surplus and mixed income","D10T33"," Manufacturing [C]","1996","1996","CZK","Czech Koruna","6","Millions",,,126532,,
"CZE","Czech Republic","NOPS","Net operating surplus and mixed income","D10T33"," Manufacturing [C]","1997","1997","CZK","Czech Koruna","6","Millions",,,138987,,
"CZE","Czech Republic","NOPS","Net operating surplus and mixed income","D10T33"," Manufacturing [C]","1998","1998","CZK","Czech Koruna","6","Millions",,,151377,,
"CZE","Czech Republic","NOPS","Net operating surplus and mixed income","D10T33"," Manufacturing [C]","1999","1999","CZK","Czech Koruna","6","Millions",,,162084,,
"CZE","Czech Republic","NOPS","Net operating surplus and mixed income","D10T33"," Manufacturing [C]","2000","2000","CZK","Czech Koruna","6","Millions",,,181919,,
"CZE","Czech Republic","NOPS","Net operating surplus and mixed income","D10T33"," Manufacturing [C]","2001","2001","CZK","Czech Koruna","6","Millions",,,203469,,
"CZE","Czech Republic","NOPS","Net operating surplus and mixed income","D10T33"," Manufacturing [C]","2002","2002","CZK","Czech Koruna","6","Millions",,,176901,,
"CZE","Czech Republic","NOPS","Net operating surplus and mixed income","D10T33"," Manufacturing [C]","2003","2003","CZK","Czech Koruna","6","Millions",,,176426,,
"CZE","Czech Republic","NOPS","Net operating surplus and mixed income","D10T33"," Manufacturing [C]","2004","2004","CZK","Czech Koruna","6","Millions",,,221597,,
