"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1990","1990","MXN","Mexican Peso","0","Units",,,1.271022,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1991","1991","MXN","Mexican Peso","0","Units",,,1.534805,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1992","1992","MXN","Mexican Peso","0","Units",,,1.736157,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1993","1993","MXN","Mexican Peso","0","Units",,,2.093122,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1994","1994","MXN","Mexican Peso","0","Units",,,2.209065,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1995","1995","MXN","Mexican Peso","0","Units",,,2.84627,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1996","1996","MXN","Mexican Peso","0","Units",,,3.631745,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1997","1997","MXN","Mexican Peso","0","Units",,,4.207903,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1998","1998","MXN","Mexican Peso","0","Units",,,4.786464,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1999","1999","MXN","Mexican Peso","0","Units",,,5.431109,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2000","2000","MXN","Mexican Peso","0","Units",,,5.828733,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2001","2001","MXN","Mexican Peso","0","Units",,,5.995672,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2002","2002","MXN","Mexican Peso","0","Units",,,6.204076,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2003","2003","MXN","Mexican Peso","0","Units",,,6.455018,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2004","2004","MXN","Mexican Peso","0","Units",,,6.56417,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2005","2005","MXN","Mexican Peso","0","Units",,,6.844839,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2006","2006","MXN","Mexican Peso","0","Units",,,6.824425,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2007","2007","MXN","Mexican Peso","0","Units",,,7.007012,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2008","2008","MXN","Mexican Peso","0","Units",,,7.086266,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2009","2009","MXN","Mexican Peso","0","Units",,,7.292455,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2010","2010","MXN","Mexican Peso","0","Units",,,7.54238,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2011","2011","MXN","Mexican Peso","0","Units",,,7.692286,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2012","2012","MXN","Mexican Peso","0","Units",,,7.872281,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2013","2013","MXN","Mexican Peso","0","Units",,,7.962215,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2014","2014","MXN","Mexican Peso","0","Units",,,8.18118,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2015","2015","MXN","Mexican Peso","0","Units",,,8.242709,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2016","2016","MXN","Mexican Peso","0","Units",,,8.260157,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2017","2017","MXN","Mexican Peso","0","Units",,,8.776086,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2018","2018","MXN","Mexican Peso","0","Units",,,9.004724,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2019","2019","MXN","Mexican Peso","0","Units",,,9.455302,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2020","2020","MXN","Mexican Peso","0","Units",,,9.755286,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2021","2021","MXN","Mexican Peso","0","Units",,,10.102583,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1990","1990","EUR","Euro","0","Units",,,0.612635,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1991","1991","EUR","Euro","0","Units",,,0.624521,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1992","1992","EUR","Euro","0","Units",,,0.615311,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1993","1993","EUR","Euro","0","Units",,,0.764851,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1994","1994","EUR","Euro","0","Units",,,0.805104,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1995","1995","EUR","Euro","0","Units",,,0.749396,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1996","1996","EUR","Euro","0","Units",,,0.761251,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1997","1997","EUR","Euro","0","Units",,,0.879964,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1998","1998","EUR","Euro","0","Units",,,0.897884,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1999","1999","EUR","Euro","0","Units",,,0.938283,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2000","2000","EUR","Euro","0","Units",,,1.082705,,
