Year,Quarter,State,B,W
2016,1,AL,$221.74 ,$720.58 
2016,1,AK,$256.05 ,$904.81 
2016,1,AZ,$224.71 ,$668.91 
2016,1,AR,$302.64 ,$665.48 
2016,1,CA,$323.18 ,$857.95 
2016,1,CO,$408.43 ,$893.95 
2016,1,CT,$347.08 ,$849.96 
2016,1,DE,$256.93 ,$717.83 
2016,2,AL,$221.53 ,$722.60 
2016,2,AK,$259.55 ,$908.92 
2016,2,AZ,$226.30 ,$693.87 
2016,2,AR,$291.80 ,$671.11 
2016,2,CA,$324.29 ,$847.21 
2016,2,CO,$414.08 ,$923.07 
2016,2,CT,$352.83 ,$861.59 
2016,2,DE,$256.40 ,$722.86 
2016,3,AL,$223.03 ,$738.47 
2016,3,AK,$261.87 ,$902.34 
2016,3,AZ,$226.78 ,$678.88 
2016,3,AR,$283.26 ,$690.06 
2016,3,CA,$326.84 ,$870.19 
2016,3,CO,$419.01 ,$933.66 
2016,3,CT,$355.37 ,$854.79 
2016,3,DE,$257.10 ,$748.29 
2016,4,AL,$223.64 ,$655.75 
2016,4,AK,$261.01 ,$914.84 
2016,4,AZ,$227.32 ,$702.67 
2016,4,AR,$272.18 ,$704.22 
2016,4,CA,$328.90 ,$906.42 
2016,4,CO,$422.71 ,$965.30 
2016,4,CT,$359.72 ,$859.49 
2016,4,DE,$256.90 ,$761.96 
2017,1,AL,$223.39 ,$661.30 
2017,1,AK,$261.13 ,$921.05 
2017,1,AZ,$226.63 ,$697.54 
2017,1,AR,$268.89 ,$715.90 
2017,1,CA,$329.85 ,$901.30 
2017,1,CO,$422.56 ,$997.61 
2017,1,CT,$363.76 ,$893.54 
2017,1,DE,$261.00 ,$777.71 
2017,2,AL,$224.56 ,$685.81 
2017,2,AK,$260.83 ,$906.27 
2017,2,AZ,$226.81 ,$674.69 
2017,2,AR,$268.86 ,$718.51 
2017,2,CA,$332.65 ,$894.08 
2017,2,CO,$424.44 ,$989.23 
2017,2,CT,$368.84 ,$908.81 
2017,2,DE,$264.53 ,$775.21 
2017,3,AL,$225.11 ,$700.03 
2017,3,AK,$257.19 ,$890.83 
2017,3,AZ,$228.70 ,$699.48 
2017,3,AR,$272.25 ,$713.88 
2017,3,CA,$334.60 ,$871.28 
2017,3,CO,$426.71 ,$988.42 
2017,3,CT,$373.39 ,$925.97 
2017,3,DE,$266.04 ,$764.66 
2017,4,AL,$225.22 ,$724.76 
2017,4,AK,$256.50 ,$890.27 
2017,4,AZ,$229.93 ,$702.73 
2017,4,AR,$278.10 ,$704.42 
2017,4,CA,$333.93 ,$865.35 
2017,4,CO,$429.04 ,$986.94 
2017,4,CT,$376.85 ,$956.46 
2017,4,DE,$265.15 ,$762.48 
2018,1,AL,$225.61 ,$715.33 
2018,1,AK,$254.51 ,$889.86 
2018,1,AZ,$231.12 ,$789.50 
2018,1,AR,$283.74 ,$712.19 
2018,1,CA,$336.99 ,$896.77 
2018,1,CO,$430.21 ,"$1,002.17 "
2018,1,CT,$381.13 ,$938.19 
2018,1,DE,$264.07 ,$764.24 
2018,2,AL,$225.27 ,$683.35 
2018,2,AK,$251.15 ,$891.48 
2018,2,AZ,$231.97 ,$793.39 
2018,2,AR,$282.31 ,$714.52 
2018,2,CA,$338.96 ,$925.79 
2018,2,CO,$433.35 ,"$1,020.97 "
2018,2,CT,$380.95 ,$928.09 
2018,2,DE,$262.71 ,$779.65 
2018,3,AL,$224.75 ,$670.46 
2018,3,AK,$251.48 ,$897.59 
2018,3,AZ,$232.85 ,$791.83 
2018,3,AR,$277.94 ,$709.83 
2018,3,CA,$341.04 ,$945.06 
2018,3,CO,$434.06 ,"$1,032.00 "
2018,3,CT,$383.56 ,$937.84 
2018,3,DE,$263.59 ,$782.86 
2018,4,AL,$225.70 ,$665.09 
2018,4,AK,$249.02 ,$885.49 
2018,4,AZ,$233.24 ,$794.56 
2018,4,AR,$272.36 ,$698.90 
2018,4,CA,$344.30 ,$941.55 
2018,4,CO,$437.80 ,"$1,032.59 "
2018,4,CT,$383.47 ,$921.44 
2018,4,DE,$264.30 ,$778.81 
2019,1,AL,$227.64 ,$680.57 
2019,1,AK,$248.60 ,$874.27 
2019,1,AZ,$233.32 ,$723.81 
2019,1,AR,$268.00 ,$697.16 
2019,1,CA,$345.66 ,$955.18 
2019,1,CO,$445.81 ,"$1,051.17 "
2019,1,CT,$388.78 ,$911.11 
2019,1,DE,$264.40 ,$763.55 
2019,2,AL,$229.25 ,$704.46 
2019,2,AK,$248.89 ,$899.59 
2019,2,AZ,$233.98 ,$749.82 
2019,2,AR,$267.80 ,$695.87 
2019,2,CA,$346.45 ,$981.29 
2019,2,CO,$449.09 ,"$1,061.19 "
2019,2,CT,$389.50 ,$921.37 
2019,2,DE,$265.71 ,$770.95 
2019,3,AL,$231.05 ,$715.72 
2019,3,AK,$249.72 ,$906.02 
2019,3,AZ,$234.04 ,$770.49 
2019,3,AR,$267.57 ,$710.07 
2019,3,CA,$344.68 ,$977.91 
2019,3,CO,$450.57 ,"$1,079.97 "
2019,3,CT,$389.08 ,$935.02 
2019,3,DE,$266.10 ,$784.02 
2019,4,AL,$232.06 ,$709.27 
2019,4,AK,$255.47 ,$930.92 
2019,4,AZ,$233.91 ,$769.81 
2019,4,AR,$270.74 ,$717.34 
2019,4,CA,$345.43 ,$997.22 
2019,4,CO,$453.89 ,"$1,077.55 "
2019,4,CT,$394.87 ,$945.01 
2019,4,DE,$272.55 ,$805.30 
2020,1,AL,$234.18 ,$705.44 
2020,1,AK,$259.50 ,$922.11 
2020,1,AZ,$234.51 ,$765.30 
2020,1,AR,$275.34 ,$720.25 
2020,1,CA,$347.38 ,"$1,015.77 "
2020,1,CO,$458.45 ,"$1,066.88 "
2020,1,CT,$396.83 ,$996.42 
2020,1,DE,$284.68 ,$821.94 
2020,2,AL,$234.98 ,$692.03 
2020,2,AK,$263.59 ,$930.16 
2020,2,AZ,$234.68 ,$765.73 
2020,2,AR,$276.71 ,$727.31 
2020,2,CA,$348.10 ,"$1,006.70 "
2020,2,CO,$459.64 ,"$1,072.33 "
2020,2,CT,$399.13 ,"$1,010.26 "
2020,2,DE,$289.09 ,$811.72 
2020,3,AL,$238.97 ,$627.76 
2020,3,AK,$252.22 ,$875.55 
2020,3,AZ,$235.93 ,$780.84 
2020,3,AR,$243.73 ,$631.03 
2020,3,CA,$312.37 ,$915.37 
2020,3,CO,$402.50 ,$965.88 
2020,3,CT,$318.60 ,$838.62 
2020,3,DE,$253.91 ,$662.53 
2020,4,AL,$241.50 ,$625.09 
2020,4,AK,$252.45 ,$940.54 
2020,4,AZ,$236.06 ,$766.40 
2020,4,AR,$241.90 ,$640.71 
2020,4,CA,$307.50 ,$895.49 
2020,4,CO,$398.39 ,$931.93 
2020,4,CT,$311.75 ,$842.75 
2020,4,DE,$250.74 ,$675.51 
2021,1,AL,$244.49 ,$625.26 
2021,1,AK,$252.77 ,$934.74 
2021,1,AZ,$236.14 ,$785.83 
2021,1,AR,$239.42 ,$636.61 
2021,1,CA,$307.65 ,$887.91 
2021,1,CO,$405.89 ,$947.61 
2021,1,CT,$307.62 ,$855.74 
2021,1,DE,$249.12 ,$679.74 
2021,2,AL,$246.57 ,$641.97 
2021,2,AK,$253.53 ,$938.97 
2021,2,AZ,$236.31 ,$786.76 
2021,2,AR,$239.75 ,$644.34 
2021,2,CA,$309.87 ,$901.36 
2021,2,CO,$406.47 ,$950.29 
2021,2,CT,$310.96 ,$855.38 
2021,2,DE,$252.60 ,$691.46 
2021,3,AL,$256.03 ,$687.71 
2021,3,AK,$258.41 ,$996.57 
2021,3,AZ,$236.84 ,$789.05 
2021,3,AR,$250.75 ,$701.07 
2021,3,CA,$320.15 ,$925.71 
2021,3,CO,$421.14 ,$949.14 
2021,3,CT,$337.96 ,$942.59 
2021,3,DE,$269.88 ,$777.85 
2021,4,AL,$259.02 ,$717.63 
2021,4,AK,$258.88 ,$946.65 
2021,4,AZ,$237.44 ,$828.76 
2021,4,AR,$249.35 ,$700.70 
2021,4,CA,$331.40 ,$955.58 
2021,4,CO,$431.25 ,$991.66 
2021,4,CT,$350.07 ,$972.69 
2021,4,DE,$282.09 ,$790.47 
2015,1,AL,$219.01 ,$616.54 
2015,1,AK,$242.32 ,$821.69 
2015,1,AZ,$225.70 ,$717.57 
2015,1,AR,$297.21 ,$629.31 
2015,1,CA,$313.68 ,$909.71 
2015,1,CO,$385.59 ,$855.73 
2015,1,CT,$339.14 ,$827.79 
2015,1,DE,$250.05 ,$680.29 
2015,2,AL,$219.65 ,$630.37 
2015,2,AK,$245.18 ,$858.33 
2015,2,AZ,$224.52 ,$720.99 
2015,2,AR,$304.02 ,$642.00 
2015,2,CA,$313.77 ,$935.86 
2015,2,CO,$391.13 ,$866.44 
2015,2,CT,$340.46 ,$829.27 
2015,2,DE,$251.37 ,$713.16 
2015,3,AL,$220.75 ,$629.48 
2015,3,AK,$248.89 ,$878.53 
2015,3,AZ,$224.71 ,$661.61 
2015,3,AR,$305.36 ,$641.75 
2015,3,CA,$314.98 ,$964.96 
2015,3,CO,$395.07 ,$887.99 
2015,3,CT,$345.66 ,$843.63 
2015,3,DE,$253.02 ,$721.77 
2015,4,AL,$221.85 ,$720.25 
2015,4,AK,$251.95 ,$875.10 
2015,4,AZ,$224.11 ,$669.07 
2015,4,AR,$309.98 ,$654.59 
2015,4,CA,$319.07 ,$866.08 
2015,4,CO,$400.28 ,$901.30 
2015,4,CT,$344.72 ,$838.62 
2015,4,DE,$257.06 ,$712.90 
2015,1,DC,$302.79 ,$945.32 
2015,1,GA,$273.18 ,$710.56 
2015,1,HI,$441.06 ,$916.03 
2015,1,ID,$289.27 ,$627.94 
2015,1,IL,$296.37 ,$862.05 
2015,1,IN,$261.88 ,$742.49 
2015,1,IA,$338.30 ,$694.42 
2015,1,KS,$357.71 ,$737.43 
2015,1,KY,$307.89 ,$745.49 
2015,1,LA,$208.43 ,$635.89 
2015,1,ME,$298.40 ,$633.99 
2015,1,MD,$329.16 ,$790.63 
2015,1,MA,$422.07 ,$959.72 
2015,1,MI,$299.60 ,$684.59 
2015,2,DC,$301.83 ,$927.42 
2015,2,GA,$273.66 ,$722.58 
2015,2,HI,$441.99 ,$928.17 
2015,2,ID,$290.26 ,$623.33 
2015,2,IL,$300.09 ,$872.24 
2015,2,IN,$262.03 ,$747.63 
2015,2,IA,$339.23 ,$697.22 
2015,2,KS,$360.59 ,$742.77 
2015,2,KY,$310.68 ,$748.49 
2015,2,LA,$210.15 ,$668.13 
2015,2,ME,$300.61 ,$637.82 
2015,2,MD,$329.62 ,$790.34 
2015,2,MA,$425.38 ,$954.47 
2015,2,MI,$300.36 ,$708.28 
2015,3,DC,$302.67 ,$938.04 
2015,3,GA,$277.71 ,$756.25 
2015,3,HI,$443.34 ,$942.36 
2015,3,ID,$295.56 ,$639.50 
2015,3,IL,$301.04 ,$894.02 
2015,3,IN,$261.52 ,$767.73 
2015,3,IA,$342.48 ,$699.75 
2015,3,KS,$363.43 ,$749.57 
2015,3,KY,$315.00 ,$756.72 
2015,3,LA,$211.31 ,$695.48 
2015,3,ME,$302.22 ,$645.57 
2015,3,MD,$331.75 ,$780.25 
2015,3,MA,$426.39 ,$986.66 
2015,3,MI,$302.54 ,$710.91 
2015,3,FL,$239.33 ,$683.06 
2015,4,DC,$303.38 ,$955.50 
2015,4,GA,$280.36 ,$743.87 
2015,4,HI,$447.36 ,$965.70 
2015,4,ID,$296.84 ,$641.38 
2015,4,IL,$301.88 ,$882.38 
2015,4,IN,$261.81 ,$775.65 
2015,4,IA,$346.24 ,$717.49 
